drug_id,drug_name,drug_class,form,strength,stock_on_hand,reorder_level,lead_time_days,unit_cost,expiry_date
D001,STAT_D001,Antidepressant,Injection,100mg,243,38,27,29.98,2024-11-25
D002,STAT_D002,Antihypertensive,Injection,20mg,167,23,29,115.64,2025-11-28
D003,STAT_D003,Antidiabetic,Capsule,20mg,92,93,3,13.09,2026-11-26
D004,STAT_D004,Antihypertensive,Capsule,20mg,35,58,4,149.96,2026-07-17
D005,STAT_D005,Antibiotic,Capsule,20mg,162,88,4,167.18,2024-03-05
D006,STAT_D006,Antihypertensive,Syrup,5mg,454,94,24,57.08,2026-11-26
D007,STAT_D007,Analgesic,Tablet,10mg,210,55,4,42.35,2025-09-10
D008,STAT_D008,Antidepressant,Injection,5mg,25,31,22,125.03,2026-11-27
D009,STAT_D009,Antidiabetic,Tablet,100mg,123,67,26,134.4,2026-11-30
D010,STAT_D010,Antibiotic,Tablet,10mg,426,35,28,47.15,2024-08-02
D011,STAT_D011,Antibiotic,Tablet,20mg,166,49,2,9.71,2026-01-06
D012,STAT_D012,Antidepressant,Tablet,20mg,263,28,19,136.44,2024-08-25
D013,STAT_D013,Analgesic,Tablet,5mg,96,87,24,44.34,2026-12-24
D014,STAT_D014,Analgesic,Capsule,10mg,102,76,1,41.72,2025-12-15
D015,STAT_D015,Antihypertensive,Tablet,100mg,187,35,7,83.12,2026-01-26
D016,STAT_D016,Analgesic,Tablet,100mg,185,63,25,35.3,2026-02-06
D017,STAT_D017,Antidiabetic,Capsule,10mg,231,81,23,109.3,2026-07-22
D018,STAT_D018,Antidepressant,Tablet,100mg,437,27,2,31.86,2024-01-27
D019,STAT_D019,Antihypertensive,Injection,20mg,193,82,19,21.09,2025-06-26
D020,STAT_D020,Antihypertensive,Tablet,50mg,349,38,20,183.39,2025-02-11
D021,STAT_D021,Antibiotic,Syrup,10mg,164,51,15,132.93,2024-04-11
D022,STAT_D022,Antidepressant,Syrup,20mg,328,85,9,137.99,2024-09-17
D023,STAT_D023,Antibiotic,Syrup,20mg,132,51,23,137.52,2024-02-09
D024,STAT_D024,Antibiotic,Capsule,50mg,465,81,24,31.43,2024-11-19
D025,STAT_D025,Antidiabetic,Syrup,50mg,203,90,28,35.99,2026-06-18
D026,STAT_D026,Antibiotic,Tablet,5mg,296,25,19,124.3,2025-12-13
D027,STAT_D027,Antibiotic,Capsule,10mg,139,44,19,43.46,2025-10-12
D028,STAT_D028,Antidepressant,Tablet,100mg,274,37,5,192.42,2025-12-23
D029,STAT_D029,Antihypertensive,Capsule,10mg,200,80,9,188.64,2024-06-25
D030,STAT_D030,Antihypertensive,Injection,50mg,38,46,6,141.84,2024-10-16
D031,STAT_D031,Antihypertensive,Capsule,20mg,431,41,9,21.41,2026-07-03
D032,STAT_D032,Antihypertensive,Injection,50mg,303,31,24,84.08,2026-03-29
D033,STAT_D033,Antidepressant,Syrup,50mg,484,25,16,78.92,2025-05-10
D034,STAT_D034,Antidiabetic,Tablet,50mg,311,25,27,37.7,2025-10-24
D035,STAT_D035,Antihypertensive,Capsule,100mg,115,66,24,64.9,2026-11-09
D036,STAT_D036,Antihypertensive,Tablet,20mg,235,45,24,89.37,2025-08-17
D037,STAT_D037,Antidepressant,Capsule,50mg,342,54,7,198.17,2024-03-14
D038,STAT_D038,Antidiabetic,Injection,5mg,29,47,2,45.76,2024-02-19
D039,STAT_D039,Antidepressant,Injection,5mg,188,98,24,167.35,2026-02-06
D040,STAT_D040,Antihypertensive,Tablet,5mg,99,36,10,98.14,2024-09-29
D041,STAT_D041,Antihypertensive,Injection,5mg,80,77,21,47.11,2026-08-06
D042,STAT_D042,Antihypertensive,Injection,100mg,421,22,14,64.37,2026-09-02
D043,STAT_D043,Antibiotic,Injection,5mg,154,81,26,109.13,2026-01-04
D044,STAT_D044,Analgesic,Syrup,5mg,400,34,13,49.75,2025-11-06
D045,STAT_D045,Antibiotic,Capsule,100mg,315,25,8,130.84,2026-05-24
D046,STAT_D046,Antibiotic,Tablet,10mg,309,20,16,197.15,2024-05-16
D047,STAT_D047,Antihypertensive,Tablet,20mg,432,30,25,37.27,2025-12-20
D048,STAT_D048,Analgesic,Tablet,50mg,189,95,18,14.2,2026-10-21
D049,STAT_D049,Antidepressant,Syrup,10mg,497,45,17,84.3,2025-04-01
D050,STAT_D050,Antidiabetic,Tablet,10mg,3,98,21,46.93,2026-07-18
D051,STAT_D051,Antibiotic,Capsule,10mg,299,43,1,11.7,2024-11-21
D052,STAT_D052,Antihypertensive,Capsule,5mg,452,29,13,157.4,2024-08-19
D053,STAT_D053,Analgesic,Syrup,5mg,479,66,30,152.03,2026-10-24
D054,STAT_D054,Antibiotic,Tablet,20mg,319,100,16,75.39,2026-11-09
D055,STAT_D055,Antibiotic,Capsule,10mg,110,56,28,69.89,2024-11-11
D056,STAT_D056,Analgesic,Injection,20mg,24,90,27,21.07,2025-07-27
D057,STAT_D057,Analgesic,Capsule,50mg,249,86,23,77,2025-09-24
D058,STAT_D058,Antihypertensive,Capsule,100mg,144,85,20,49.44,2024-11-26
D059,STAT_D059,Antibiotic,Syrup,50mg,219,77,30,40.7,2026-07-16
D060,STAT_D060,Analgesic,Injection,10mg,418,32,17,150.32,2024-09-26
D061,STAT_D061,Antidepressant,Capsule,20mg,179,51,7,43.82,2025-03-01
D062,STAT_D062,Analgesic,Syrup,10mg,187,24,23,14.66,2024-09-12
D063,STAT_D063,Antihypertensive,Injection,10mg,479,29,25,144.91,2025-08-05
D064,STAT_D064,Analgesic,Syrup,5mg,269,32,1,55.52,2026-09-25
D065,STAT_D065,Analgesic,Tablet,10mg,317,92,6,43.01,2025-06-18
D066,STAT_D066,Antibiotic,Tablet,10mg,348,70,14,177.86,2024-09-25
D067,STAT_D067,Antidiabetic,Capsule,20mg,443,97,30,63.18,2025-05-24
D068,STAT_D068,Antihypertensive,Tablet,100mg,361,45,1,71.71,2025-05-18
D069,STAT_D069,Antibiotic,Tablet,10mg,5,85,25,95.47,2024-12-11
D070,STAT_D070,Antidiabetic,Syrup,20mg,51,43,17,79.8,2025-04-24
D071,STAT_D071,Analgesic,Capsule,100mg,63,77,26,175.95,2026-11-24
D072,STAT_D072,Analgesic,Tablet,100mg,85,92,13,138.44,2026-04-17
D073,STAT_D073,Analgesic,Injection,50mg,37,48,18,145.04,2024-03-03
