technician_id,name,experience_years,shift_type
T001,Tech_T001,3,Mixed
T002,Tech_T002,3,Mixed
T003,Tech_T003,10,Day
T004,Tech_T004,2,Day
T005,Tech_T005,6,Mixed
T006,Tech_T006,5,Mixed
T007,Tech_T007,4,Day
T008,Tech_T008,6,Evening
T009,Tech_T009,9,Mixed
T010,Tech_T010,10,Day
T011,Tech_T011,5,Evening
T012,Tech_T012,3,Mixed
T013,Tech_T013,9,Mixed
T014,Tech_T014,9,Day
T015,Tech_T015,9,Day
T016,Tech_T016,3,Mixed
T017,Tech_T017,8,Evening
T018,Tech_T018,10,Evening
T019,Tech_T019,7,Evening
T020,Tech_T020,10,Day
T021,Tech_T021,9,Mixed
T022,Tech_T022,3,Day
T023,Tech_T023,4,Mixed
T024,Tech_T024,1,Mixed
T025,Tech_T025,7,Evening
T026,Tech_T026,5,Mixed
T027,Tech_T027,10,Day
T028,Tech_T028,7,Mixed
T029,Tech_T029,9,Evening
T030,Tech_T030,9,Day
T031,Tech_T031,10,Day
T032,Tech_T032,7,Day
T033,Tech_T033,5,Evening
T034,Tech_T034,7,Day
T035,Tech_T035,5,Evening
T036,Tech_T036,6,Mixed
T037,Tech_T037,9,Day
T038,Tech_T038,2,Evening
T039,Tech_T039,5,Day
T040,Tech_T040,8,Mixed
T041,Tech_T041,2,Day
T042,Tech_T042,1,Mixed
T043,Tech_T043,9,Mixed
T044,Tech_T044,9,Mixed
T045,Tech_T045,6,Evening
T046,Tech_T046,5,Evening
T047,Tech_T047,9,Evening
T048,Tech_T048,10,Mixed
T049,Tech_T049,4,Evening
T050,Tech_T050,6,Day
T051,Tech_T051,8,Day
T052,Tech_T052,6,Day
T053,Tech_T053,6,Mixed
T054,Tech_T054,7,Evening
T055,Tech_T055,1,Mixed
T056,Tech_T056,6,Mixed
T057,Tech_T057,2,Day
T058,Tech_T058,1,Mixed
T059,Tech_T059,2,Day
T060,Tech_T060,4,Day
T061,Tech_T061,5,Mixed
T062,Tech_T062,6,Evening
T063,Tech_T063,3,Day
T064,Tech_T064,9,Mixed
T065,Tech_T065,4,Evening
T066,Tech_T066,6,Mixed
T067,Tech_T067,9,Evening
T068,Tech_T068,9,Evening
T069,Tech_T069,7,Evening
T070,Tech_T070,3,Mixed
T071,Tech_T071,8,Mixed
T072,Tech_T072,9,Evening
T073,Tech_T073,3,Evening
T074,Tech_T074,7,Mixed
T075,Tech_T075,3,Day
T076,Tech_T076,7,Evening
T077,Tech_T077,6,Day
T078,Tech_T078,10,Mixed
T079,Tech_T079,5,Mixed
T080,Tech_T080,5,Day
T081,Tech_T081,8,Evening
T082,Tech_T082,3,Mixed
T083,Tech_T083,10,Mixed
T084,Tech_T084,2,Mixed
T085,Tech_T085,10,Evening
T086,Tech_T086,2,Day
T087,Tech_T087,10,Mixed
T088,Tech_T088,6,Mixed
T089,Tech_T089,4,Mixed
T090,Tech_T090,1,Mixed
T091,Tech_T091,6,Evening
T092,Tech_T092,3,Mixed
T093,Tech_T093,8,Day
T094,Tech_T094,3,Mixed
T095,Tech_T095,8,Day
T096,Tech_T096,1,Day
T097,Tech_T097,7,Day
T098,Tech_T098,7,Mixed
T099,Tech_T099,7,Day
T100,Tech_T100,10,Day
T101,Tech_T101,6,Day
T102,Tech_T102,7,Mixed
T103,Tech_T103,10,Mixed
T104,Tech_T104,5,Mixed
T105,Tech_T105,6,Day
T106,Tech_T106,8,Mixed
T107,Tech_T107,5,Day
T108,Tech_T108,7,Day
T109,Tech_T109,4,Mixed
T110,Tech_T110,3,Mixed
T111,Tech_T111,9,Evening
T112,Tech_T112,7,Evening
T113,Tech_T113,6,Mixed
T114,Tech_T114,10,Day
T115,Tech_T115,9,Evening
T116,Tech_T116,7,Evening
T117,Tech_T117,2,Day
T118,Tech_T118,3,Day
T119,Tech_T119,8,Evening
T120,Tech_T120,4,Evening
T121,Tech_T121,7,Evening
T122,Tech_T122,4,Evening
T123,Tech_T123,1,Day
T124,Tech_T124,8,Evening
T125,Tech_T125,4,Evening
T126,Tech_T126,9,Mixed
T127,Tech_T127,8,Mixed
T128,Tech_T128,6,Day
T129,Tech_T129,4,Evening
T130,Tech_T130,8,Mixed
T131,Tech_T131,3,Evening
T132,Tech_T132,4,Evening
T133,Tech_T133,4,Evening
T134,Tech_T134,6,Day
T135,Tech_T135,1,Mixed
T136,Tech_T136,10,Evening
T137,Tech_T137,4,Day
T138,Tech_T138,9,Evening
T139,Tech_T139,7,Day
T140,Tech_T140,8,Evening
T141,Tech_T141,5,Day
T142,Tech_T142,2,Mixed
T143,Tech_T143,6,Day
T144,Tech_T144,9,Day
T145,Tech_T145,8,Day
T146,Tech_T146,10,Day
T147,Tech_T147,4,Day
T148,Tech_T148,5,Evening
T149,Tech_T149,7,Mixed
T150,Tech_T150,1,Day
T151,Tech_T151,8,Day
T152,Tech_T152,8,Day
T153,Tech_T153,10,Evening
T154,Tech_T154,9,Mixed
T155,Tech_T155,8,Mixed
T156,Tech_T156,2,Mixed
T157,Tech_T157,5,Mixed
T158,Tech_T158,9,Day
T159,Tech_T159,7,Evening
T160,Tech_T160,7,Day
T161,Tech_T161,10,Mixed
T162,Tech_T162,10,Evening
T163,Tech_T163,8,Day
T164,Tech_T164,6,Mixed
T165,Tech_T165,7,Evening
T166,Tech_T166,10,Evening
T167,Tech_T167,1,Evening
T168,Tech_T168,9,Day
